#{"t_start": 1644413010.7135012, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-63.275417,1000,387.550517
-66.878419,1000,391.977685
-103.805943,1000,396.33231
-58.602116,1000,400.252005
-32.663845,1000,404.460624
-30.511312,1000,408.536635
-74.622816,1000,412.616356
-107.602876,395,413.900593
-83.255917,259,414.759144
-72.441974,248,415.512089
-61.857165,1000,419.250862
-78.027998,1000,422.676286
-113.110664,1000,426.158083
-60.778848,1000,431.164847
-107.723984,1000,435.362503
-117.983005,1000,438.832298
-172.25581,272,439.664139
-71.059184,1000,443.329907
-89.521133,1000,447.550477
-118.499607,1000,451.098016
-107.425894,1000,454.513763
-150.30678,640,457.041822
-95.153487,1000,460.952979
-82.316925,1000,464.897221
-171.320816,1000,468.838101
-75.17877,161,469.226895
-156.707988,602,471.471996
-80.408708,1000,476.004388
-148.71683,364,477.195179
-54.982551,1000,481.601196
-98.940258,1000,485.613912
-84.07941,1000,490.265604
-34.22567,1000,494.874949
-79.405615,1000,499.028578
-198.227336,787,501.694568
-89.829931,1000,506.136993
-120.317298,1000,509.527173
-72.320714,1000,513.079043
-65.709532,212,513.594885
-113.506153,1000,517.902628
-99.732062,1000,521.435984
-226.291527,817,524.663522
-38.219098,1000,529.779392
-72.445289,1000,533.655443
-85.233646,1000,537.481673
-110.870683,1000,541.412484
-107.192275,1000,544.809771
-69.104574,1000,548.412251
-54.612898,1000,551.871593
-116.082661,1000,555.225567
-71.523013,1000,559.444664
-8.587765,1000,563.062645
-107.518958,1000,566.603704
-41.718481,1000,570.62143
-75.313774,1000,574.379735
-95.254128,1000,577.77287
-93.683837,1000,581.231256
-32.121991,1000,584.62106
-42.666061,1000,588.015665
-76.508731,1000,591.390396
-61.3748,1000,594.854407
-54.044277,1000,598.045515
-101.673543,1000,601.398096
-36.641841,1000,605.128098
-86.544654,1000,609.121601
-73.717533,1000,612.265486
-198.917622,438,613.66368
-93.492332,1000,617.189651
-79.423572,1000,622.167107
-63.187753,1000,625.709482
-250.377482,251,626.544806
-42.343519,1000,631.176542
-64.730175,1000,634.982687
-62.361464,1000,638.508027
-85.720454,1000,642.401683
-35.234876,1000,646.373424
-67.895697,1000,650.179781
-67.585877,1000,654.322701
-69.931448,1000,657.695503
-56.392701,1000,661.651421
-115.567508,308,662.585485
-125.320544,1000,667.036346
-121.983706,1000,670.705183
-146.753587,141,671.036918
-133.746241,1000,674.90466
-52.955328,1000,678.645157
-146.923068,684,680.91745
-88.590198,171,681.471458
-156.48616,686,684.248577
-117.560383,1000,688.361522
-176.391864,296,689.223334
-93.339496,1000,693.425038
-70.807118,1000,698.027101
-49.752147,1000,702.125914
-33.233179,1000,706.069841
-250.602402,993,710.229483
-72.481779,1000,713.867142
-135.44909,1000,718.332994
-19.798426,1000,722.12898
-69.792339,1000,726.52558
-110.362854,1000,730.842169
-48.433573,1000,734.354316
-85.362191,1000,738.233664
-82.491131,1000,742.417217
-77.887938,1000,747.063589
-101.263128,1000,750.635407
-76.497619,1000,754.710237
-402.557682,979,758.245733
-500.529884,691,761.247423
-14.28456,1000,765.089945
-67.784658,1000,769.514942
-155.959774,608,771.641596
-186.628745,1000,775.132873
-79.557792,1000,778.993993
-244.500211,736,781.746485
-84.990727,1000,785.884132
-181.376019,593,787.880956
-215.37214,690,790.484918
-71.669117,1000,794.899867
-218.039303,954,797.926165
-135.415646,531,799.777436
-30.931101,1000,803.80582
-6.36252,1000,807.494938
-90.816037,1000,811.066259
-78.844274,1000,814.576738
-15.003493,1000,818.253582
-89.624504,498,819.871727
-167.808421,982,823.473182
-99.485644,1000,826.937917
-71.883413,1000,830.059998
-56.422894,1000,833.912599
-64.61449,1000,838.570976
-87.568146,1000,842.161956
219.26175,563,843.913772
153.872927,832,847.58686
-63.825205,1000,851.726511
-36.32131,1000,855.332513
-76.323387,1000,860.350232
-27.504258,1000,863.979154
-35.946928,1000,868.329239
-17.323735,1000,872.164195
-32.317974,1000,875.538545
-21.736581,1000,879.236606
-4.297419,197,879.767226
125.220594,778,882.823583
-90.911468,744,885.469718
-52.122553,1000,889.54869
-26.924112,1000,894.314307
-84.579553,265,895.174131
-113.930275,148,895.658161
249.363891,472,896.99757
31.732185,161,897.556077
-182.843021,896,900.789791
213.230202,294,901.699604
-47.613225,404,903.043272
39.527941,218,903.672628
141.40077,1000,907.081976
-49.668401,1000,910.473397
43.263575,1000,914.593532
-84.927588,408,915.762575
22.25703,1000,919.659623
-92.31586,1000,923.053909
-149.866141,609,925.010881
38.800641,78,925.322503
-190.056209,828,928.074549
-145.515812,1000,932.626816
-112.788114,1000,936.71054
-139.010954,376,937.963938
-110.344836,1000,942.060691
-115.389063,1000,945.643795
-102.381192,1000,949.005806
81.329009,105,949.328329
-178.870304,315,950.294582
-143.973456,359,951.812938
-92.073319,1000,955.951941
-197.538069,924,958.981599
-89.359522,542,960.686385
-153.440938,722,963.648567
-86.50837,1000,967.215202
-93.036924,1000,970.863281
-155.55309,449,972.386324
-117.971755,370,973.642027
-163.819894,632,975.953005
-176.29261,390,977.349256
-152.191244,333,978.37479
-107.06625,552,980.371555
-137.642643,402,981.792614
-130.498263,314,982.720616
-67.341984,1000,987.546899
-160.995111,635,990.449328
-103.543325,421,991.856406
-173.093638,364,992.8897
-6.226845,197,993.522764
-87.265532,310,994.398462
-108.153238,1000,997.934255
-125.428829,382,999.219343
-110.042591,438,1000.810596
-116.033189,402,1002.208534
-110.389477,500,1003.9875
-131.337784,276,1004.710945
-151.566253,290,1005.624683
-213.382695,705,1008.041759
-169.060173,327,1009.329645
-129.109901,423,1010.704283
80.45241,1000,1014.534053
13.854817,1000,1019.327224
0.619987,1000,1023.374775
-123.105851,381,1024.713292
10.365117,1000,1029.248636
-113.243348,1000,1033.409208
-119.223021,539,1035.328519
-100.767936,1000,1039.534197
-144.832291,385,1040.826356
-157.631238,291,1042.136648
-10.623685,288,1043.402714
-51.342553,1000,1049.159653
-49.680696,1000,1054.027836
-112.822504,1000,1058.923371
-126.623022,512,1060.743042
-5.142345,1000,1064.722367
-30.840119,1000,1070.364935
-140.309198,544,1072.729377
-72.564818,1000,1077.470555
-40.004273,1000,1082.472073
-33.682873,1000,1086.703079
-63.728312,1000,1092.36497
-88.46541,1000,1097.508488
61.796888,1000,1101.718403
50.812644,1000,1105.712899
-91.336631,1000,1110.041532
-115.110797,692,1112.641974
-41.748923,1000,1117.358522
28.174464,1000,1122.778572
-104.765148,406,1124.103165
43.673097,1000,1128.156063
25.481075,1000,1132.01106
5.260554,1000,1136.61755
-38.251279,1000,1140.030591
9.370513,1000,1144.412178
16.787549,1000,1149.142623
-10.437182,1000,1153.733601
-56.8127,1000,1158.222333
-2.958431,1000,1162.601998
48.977181,1000,1166.740434
21.15448,1000,1170.719805
-41.668942,1000,1174.395897
-62.237962,1000,1178.318156
-175.295839,681,1181.202574
-19.656458,1000,1185.08905
9.199492,1000,1189.177702
-169.981975,655,1192.027447
16.71161,1000,1195.97885
-24.948226,1000,1199.153501
-21.268834,1000,1203.963608
-22.74713,1000,1208.659415
46.404256,1000,1212.568594
27.846721,1000,1216.958628
-24.100148,1000,1220.679776
-26.84878,1000,1224.821396
-11.212744,1000,1229.020417
-28.620014,1000,1233.129805
8.809953,1000,1237.004195
29.888114,1000,1240.651186
-16.242588,1000,1245.576985
-33.838765,1000,1249.74372
1.135627,1000,1254.002669
-8.280169,1000,1258.512288
131.98104,956,1262.336993
10.18184,1000,1266.37172
52.078288,1000,1270.390348
-50.771,1000,1274.187539
49.014645,1000,1278.239274
69.147801,1000,1282.422731
-2.779122,1000,1287.140886
22.816599,1000,1291.936037
-9.85472,1000,1295.96471
-9.760895,1000,1300.008265
